Plot,Stand,
YC18:1001,26,
YC18:1002,17,
YC18:1003,25,
YC18:1004,26,
YC18:1005,19,
YC18:1006,25,
YC18:1007,22,
YC18:1008,22,
YC18:1009,25,
YC18:1010,24,
YC18:1011,24,
YC18:1012,17,
YC18:1013,21,
YC18:1014,19,
YC18:1015,26,
YC18:1016,26,
YC18:1017,20,
YC18:1018,23,
YC18:1019,24,
YC18:1020,21,
YC18:1021,21,
YC18:1022,24,
YC18:1023,23,
YC18:1024,26,
YC18:1025,21,
YC18:1026,18,
YC18:1027,22,
YC18:1028,26,
YC18:1029,3,
YC18:1030,27,
YC18:1031,22,
YC18:1032,25,
YC18:1033,24,
YC18:1034,25,
YC18:1035,20,
YC18:1036,15,
YC18:1037,15,
YC18:1038,15,
YC18:1039,15,
YC18:1040,15,
YC18:1041,15,
YC18:1042,15,
YC18:1043,15,
YC18:1044,15,
YC18:1045,15,
YC18:1046,15,
YC18:1047,15,
YC18:1048,2,
YC18:1049,15,
YC18:1050,15,
YC18:1051,15,
YC18:1052,15,
YC18:1053,15,
YC18:1054,6,
YC18:1055,15,
YC18:1056,15,
YC18:1057,15,
YC18:1058,15,
YC18:1059,10,
YC18:1060,15,
YC18:1061,15,
YC18:1062,15,
YC18:1063,15,
YC18:1064,15,
YC18:1065,15,
YC18:1066,15,
YC18:1067,15,
YC18:1068,15,
YC18:1069,10,
YC18:1070,5,
YC18:1071,15,
YC18:1072,19,
YC18:1073,22,
YC18:1074,14,
YC18:1075,24,
YC18:1076,19,
YC18:1077,25,
YC18:1078,21,
YC18:1079,25,
YC18:1080,19,
YC18:1081,25,
YC18:1082,23,
YC18:1083,22,
YC18:1084,23,
YC18:1085,27,
YC18:1086,26,
YC18:1087,3,
YC18:1088,14,
YC18:1089,20,
YC18:1090,24,
YC18:1091,24,
YC18:1092,22,
YC18:1093,22,
YC18:1094,25,
YC18:1095,26,
YC18:1096,17,
YC18:1097,26,
YC18:1098,27,
YC18:1099,27,
YC18:1100,22,
YC18:1101,23,
YC18:1102,22,
YC18:1103,25,
YC18:1104,25,
YC18:1105,24,
YC18:1106,21,
YC18:1107,25,
YC18:1108,15,
YC18:1109,15,
YC18:1110,15,
YC18:1111,15,
YC18:1112,13,
YC18:1113,15,
YC18:1114,12,
YC18:1115,15,
YC18:1116,13,
YC18:1117,15,
YC18:1118,11,
YC18:1119,15,
YC18:1120,15,
YC18:1121,15,
YC18:1122,15,
YC18:1123,14,
YC18:1124,15,
YC18:1125,15,
YC18:1126,14,
YC18:1127,15,
YC18:1128,15,
YC18:1129,15,
YC18:1130,15,
YC18:1131,13,
YC18:1132,15,
YC18:1133,14,
YC18:1134,15,
YC18:1135,15,
YC18:1136,15,
YC18:1137,15,
YC18:1138,15,
YC18:1139,15,
YC18:1140,15,
YC18:1141,15,
YC18:1142,9,
YC18:1143,11,
YC18:1144,20,
YC18:1145,19,
YC18:1146,22,
YC18:1147,24,
YC18:1148,24,
YC18:1149,11,
YC18:1150,19,
YC18:1151,18,
YC18:1152,22,
YC18:1153,21,
YC18:1154,22,
YC18:1155,27,
YC18:1156,23,
YC18:1157,25,
YC18:1158,25,
YC18:1159,5,
YC18:1160,26,
YC18:1161,25,
YC18:1162,20,
YC18:1163,26,
YC18:1164,19,
YC18:1165,17,
YC18:1166,24,
YC18:1167,17,
YC18:1168,24,
YC18:1169,23,
YC18:1170,22,
YC18:1171,22,
YC18:1172,26,
YC18:1173,20,
YC18:1174,18,
YC18:1175,23,
YC18:1176,25,
YC18:1177,21,
YC18:1178,25,
YC18:1179,25,
YC18:1180,7,
YC18:1181,15,
YC18:1182,15,
YC18:1183,15,
YC18:1184,15,
YC18:1185,15,
YC18:1186,15,
YC18:1187,4,
YC18:1188,15,
YC18:1189,15,
YC18:1190,15,
YC18:1191,15,
YC18:1192,15,
YC18:1193,15,
YC18:1194,15,
YC18:1195,15,
YC18:1196,15,
YC18:1197,15,
YC18:1198,15,
YC18:1199,15,
YC18:1200,15,
YC18:1201,15,
YC18:1202,15,
YC18:1203,15,
YC18:1204,11,
YC18:1205,15,
YC18:1206,15,
YC18:1207,15,
YC18:1208,15,
YC18:1209,15,
YC18:1210,15,
YC18:1211,15,
YC18:1212,14,
YC18:1213,15,
YC18:1214,15,
YC18:1215,15,
YC18:1216,23,
YC18:1217,22,
YC18:1218,23,
YC18:1219,25,
YC18:1220,10,
YC18:1221,22,
YC18:1222,11,
YC18:1223,26,
YC18:1224,22,
YC18:1225,27,
YC18:1226,14,
YC18:1227,22,
YC18:1228,24,
YC18:1229,16,
YC18:1230,19,
YC18:1231,16,
YC18:1232,18,
YC18:1233,19,
YC18:1234,16,
YC18:1235,20,
YC18:1236,23,
YC18:1237,22,
YC18:1238,24,
YC18:1239,13,
YC18:1240,17,
YC18:1241,26,
YC18:1242,20,
YC18:1243,19,
YC18:1244,15,
YC18:1245,26,
YC18:1246,18,
YC18:1247,23,
YC18:1248,26,
YC18:1249,25,
YC18:1250,24,
YC18:1251,26,
YC18:1252,15,
YC18:1253,15,
YC18:1254,15,
YC18:1255,15,
YC18:1256,15,
YC18:1257,15,
YC18:1258,15,
YC18:1259,15,
YC18:1260,15,
YC18:1261,13,
YC18:1262,4,
YC18:1263,15,
YC18:1264,15,
YC18:1265,15,
YC18:1266,15,
YC18:1267,0,
YC18:1268,15,
YC18:1269,15,
YC18:1270,15,
YC18:1271,15,
YC18:1272,15,
YC18:1273,12,
YC18:1274,15,
YC18:1275,8,
YC18:1276,15,
YC18:1277,12,
YC18:1278,15,
YC18:1279,15,
YC18:1280,15,
YC18:1281,9,
YC18:1282,11,
YC18:1283,15,
YC18:1284,12,
YC18:1285,11,
YC18:1286,12,
YC18:1287,15,
YC18:1288,23,
YC18:1289,22,
YC18:1290,26,
YC18:1291,20,
YC18:1292,23,
YC18:1293,27,
YC18:1294,23,
YC18:1295,19,
YC18:1296,19,
YC18:1297,26,
YC18:1298,22,
YC18:1299,19,
YC18:1300,21,
YC18:1301,22,
YC18:1302,27,
YC18:1303,18,
YC18:1304,20,
YC18:1305,26,
YC18:1306,19,
YC18:1307,24,
YC18:1308,1,
YC18:1309,14,
YC18:1310,20,
YC18:1311,18,
YC18:1312,23,
YC18:1313,27,
YC18:1314,22,
YC18:1315,21,
YC18:1316,16,
YC18:1317,2,
YC18:1318,14,
YC18:1319,13,
YC18:1320,20,
YC18:1321,23,
YC18:1322,26,
YC18:1323,25,
YC18:1324,15,
YC18:1325,15,
YC18:1326,15,
YC18:1327,15,
YC18:1328,10,
YC18:1329,2,
YC18:1330,15,
YC18:1331,5,
YC18:1332,15,
YC18:1333,15,
YC18:1334,15,
YC18:1335,15,
YC18:1336,15,
YC18:1337,15,
YC18:1338,15,
YC18:1339,15,
YC18:1340,15,
YC18:1341,15,
YC18:1342,15,
YC18:1343,15,
YC18:1344,12,
YC18:1345,15,
YC18:1346,8,
YC18:1347,15,
YC18:1348,15,
YC18:1349,15,
YC18:1350,15,
YC18:1351,15,
YC18:1352,15,
YC18:1353,15,
YC18:1354,15,
YC18:1355,15,
YC18:1356,15,
YC18:1357,15,
YC18:1358,15,
YC18:1359,11,
YC18:1360,27,
YC18:1361,19,
YC18:1362,19,
YC18:1363,23,
YC18:1364,12,
YC18:1365,23,
YC18:1366,23,
YC18:1367,22,
YC18:1368,21,
YC18:1369,25,
YC18:1370,16,
YC18:1371,6,
YC18:1372,15,
YC18:1373,21,
YC18:1374,17,
YC18:1375,18,
YC18:1376,22,
YC18:1377,15,
YC18:1378,22,
YC18:1379,24,
YC18:1380,13,
YC18:1381,22,
YC18:1382,14,
YC18:1383,26,
YC18:1384,13,
YC18:1385,17,
YC18:1386,25,
YC18:1387,18,
YC18:1388,20,
YC18:1389,15,
YC18:1390,25,
YC18:1391,25,
YC18:1392,25,
YC18:1393,26,
YC18:1394,21,
YC18:1395,20,
YC18:1396,15,
YC18:1397,15,
YC18:1398,15,
YC18:1399,15,
YC18:1400,15,
YC18:1401,15,
YC18:1402,15,
YC18:1403,15,
YC18:1404,15,
YC18:1405,15,
YC18:1406,15,
YC18:1407,12,
YC18:1408,15,
YC18:1409,6,
YC18:1410,15,
YC18:1411,15,
YC18:1412,15,
YC18:1413,15,
YC18:1414,15,
YC18:1415,15,
YC18:1416,15,
YC18:1417,15,
YC18:1418,15,
YC18:1419,15,
YC18:1420,15,
YC18:1421,15,
YC18:1422,0,
YC18:1423,10,
YC18:1424,15,
YC18:1425,15,
YC18:1426,15,
YC18:1427,15,
YC18:1428,6,
YC18:1429,12,
YC18:1430,15,
YC18:1431,15,
YC18:1432,23,
YC18:1433,24,
YC18:1434,22,
YC18:1435,12,
YC18:1436,22,
YC18:1437,11,
YC18:1438,23,
YC18:1439,15,
YC18:1440,24,
YC18:1441,27,
YC18:1442,22,
YC18:1443,24,
YC18:1444,27,
YC18:1445,26,
YC18:1446,23,
YC18:1447,11,
YC18:1448,21,
YC18:1449,27,
YC18:1450,4,
YC18:1451,24,
YC18:1452,23,
YC18:1453,27,
YC18:1454,23,
YC18:1455,27,
YC18:1456,25,
YC18:1457,27,
YC18:1458,24,
YC18:1459,4,
YC18:1460,27,
YC18:1461,11,
YC18:1462,21,
YC18:1463,11,
YC18:1464,22,
YC18:1465,23,
YC18:1466,19,
YC18:1467,13,
YC18:1468,15,
YC18:1469,15,
YC18:1470,15,
YC18:1471,15,
YC18:1472,15,
YC18:1473,5,
YC18:1474,10,
YC18:1475,15,
YC18:1476,15,
YC18:1477,15,
YC18:1478,15,
YC18:1479,15,
YC18:1480,15,
YC18:1481,7,
YC18:1482,15,
YC18:1483,13,
YC18:1484,5,
YC18:1485,15,
YC18:1486,15,
YC18:1487,11,
YC18:1488,13,
YC18:1489,6,
YC18:1490,15,
YC18:1491,15,
YC18:1492,10,
YC18:1493,11,
YC18:1494,15,
YC18:1495,15,
YC18:1496,15,
YC18:1497,15,
YC18:1498,15,
YC18:1499,15,
YC18:1500,12,
YC18:1501,13,
YC18:1502,15,
YC18:1503,15,
YC18:1504,24,
YC18:1505,25,
YC18:1506,24,
YC18:1507,20,
YC18:1508,22,
YC18:1509,11,
YC18:1510,26,
YC18:1511,11,
YC18:1512,13,
YC18:1513,12,
YC18:1514,21,
YC18:1515,21,
YC18:1516,24,
YC18:1517,19,
YC18:1518,22,
YC18:1519,24,
YC18:1520,19,
YC18:2001,20,
YC18:2002,21,
YC18:2003,22,
YC18:2004,22,
YC18:2005,19,
YC18:2006,15,
YC18:2007,20,
YC18:2008,23,
YC18:2009,17,
YC18:2010,27,
YC18:2011,25,
YC18:2012,25,
YC18:2013,24,
YC18:2014,21,
YC18:2015,27,
YC18:2016,23,
YC18:2017,24,
YC18:2018,26,
YC18:2019,26,
YC18:2020,15,
YC18:2021,15,
YC18:2022,14,
YC18:2023,15,
YC18:2024,15,
YC18:2025,15,
YC18:2026,15,
YC18:2027,9,
YC18:2028,15,
YC18:2029,15,
YC18:2030,15,
YC18:2031,15,
YC18:2032,15,
YC18:2033,15,
YC18:2034,15,
YC18:2035,15,
YC18:2036,15,
YC18:2037,15,
YC18:2038,9,
YC18:2039,15,
YC18:2040,15,
YC18:2041,15,
YC18:2042,15,
YC18:2043,15,
YC18:2044,12,
YC18:2045,15,
YC18:2046,15,
YC18:2047,15,
YC18:2048,15,
YC18:2049,15,
YC18:2050,15,
YC18:2051,15,
YC18:2052,15,
YC18:2053,15,
YC18:2054,15,
YC18:2055,15,
YC18:2056,24,
YC18:2057,18,
YC18:2058,23,
YC18:2059,18,
YC18:2060,25,
YC18:2061,24,
YC18:2062,18,
YC18:2063,22,
YC18:2064,14,
YC18:2065,22,
YC18:2066,23,
YC18:2067,20,
YC18:2068,17,
YC18:2069,26,
YC18:2070,27,
YC18:2071,20,
YC18:2072,27,
YC18:2073,24,
YC18:2074,27,
YC18:2075,21,
YC18:2076,6,
YC18:2077,24,
YC18:2078,27,
YC18:2079,24,
YC18:2080,20,
YC18:2081,23,
YC18:2082,22,
YC18:2083,27,
YC18:2084,21,
YC18:2085,19,
YC18:2086,23,
YC18:2087,24,
YC18:2088,23,
YC18:2089,26,
YC18:2090,23,
YC18:2091,20,
YC18:2092,15,
YC18:2093,15,
YC18:2094,15,
YC18:2095,15,
YC18:2096,15,
YC18:2097,15,
YC18:2098,15,
YC18:2099,15,
YC18:2100,15,
YC18:2101,15,
YC18:2102,15,
YC18:2103,15,
YC18:2104,15,
YC18:2105,15,
YC18:2106,15,
YC18:2107,15,
YC18:2108,15,
YC18:2109,15,
YC18:2110,15,
YC18:2111,15,
YC18:2112,15,
YC18:2113,15,
YC18:2114,8,
YC18:2115,14,
YC18:2116,15,
YC18:2117,15,
YC18:2118,15,
YC18:2119,15,
YC18:2120,15,
YC18:2121,15,
YC18:2122,15,
YC18:2123,15,
YC18:2124,15,
YC18:2125,15,
YC18:2126,15,
YC18:2127,15,
YC18:2128,19,
YC18:2129,21,
YC18:2130,27,
YC18:2131,21,
YC18:2132,25,
YC18:2133,23,
YC18:2134,23,
YC18:2135,25,
YC18:2136,24,
YC18:2137,26,
YC18:2138,27,
YC18:2139,23,
YC18:2140,24,
YC18:2141,25,
YC18:2142,17,
YC18:2143,25,
YC18:2144,25,
YC18:2145,26,
YC18:2146,23,
YC18:2147,23,
YC18:2148,4,
YC18:2149,17,
YC18:2150,24,
YC18:2151,25,
YC18:2152,22,
YC18:2153,18,
YC18:2154,27,
YC18:2155,26,
YC18:2156,19,
YC18:2157,21,
YC18:2158,25,
YC18:2159,24,
YC18:2160,23,
YC18:2161,21,
YC18:2162,22,
YC18:2163,25,
YC18:2164,11,
YC18:2165,15,
YC18:2166,10,
YC18:2167,115,
YC18:2168,15,
YC18:2169,15,
YC18:2170,15,
YC18:2171,15,
YC18:2172,15,
YC18:2173,15,
YC18:2174,10,
YC18:2175,15,
YC18:2176,15,
YC18:2177,15,
YC18:2178,15,
YC18:2179,15,
YC18:2180,15,
YC18:2181,11,
YC18:2182,15,
YC18:2183,15,
YC18:2184,15,
YC18:2185,15,
YC18:2186,15,
YC18:2187,15,
YC18:2188,15,
YC18:2189,15,
YC18:2190,15,
YC18:2191,15,
YC18:2192,15,
YC18:2193,15,
YC18:2194,15,
YC18:2195,14,
YC18:2196,15,
YC18:2197,15,
YC18:2198,15,
YC18:2199,15,
YC18:2200,15,
YC18:2201,24,
YC18:2202,4,
YC18:2203,27,
YC18:2204,22,
YC18:2205,11,
YC18:2206,24,
YC18:2207,19,
YC18:2208,25,
YC18:2209,24,
YC18:2210,27,
YC18:2211,18,
YC18:2212,26,
YC18:2213,22,
YC18:2214,25,
YC18:2215,24,
YC18:2216,15,
YC18:2217,24,
YC18:2218,6,
YC18:2219,23,
YC18:2220,15,
YC18:2221,26,
YC18:2222,24,
YC18:2223,21,
YC18:2224,23,
YC18:2225,21,
YC18:2226,15,
YC18:2227,26,
YC18:2228,27,
YC18:2229,26,
YC18:2230,16,
YC18:2231,19,
YC18:2232,19,
YC18:2233,27,
YC18:2234,26,
YC18:2235,13,
YC18:2236,15,
YC18:2237,15,
YC18:2238,15,
YC18:2239,15,
YC18:2240,15,
YC18:2241,15,
YC18:2242,15,
YC18:2243,15,
YC18:2244,15,
YC18:2245,15,
YC18:2246,15,
YC18:2247,15,
YC18:2248,15,
YC18:2249,11,
YC18:2250,15,
YC18:2251,15,
YC18:2252,15,
YC18:2253,15,
YC18:2254,15,
YC18:2255,15,
YC18:2256,15,
YC18:2257,15,
YC18:2258,15,
YC18:2259,15,
YC18:2260,15,
YC18:2261,15,
YC18:2262,9,
YC18:2263,15,
YC18:2264,15,
YC18:2265,14,
YC18:2266,10,
YC18:2267,15,
YC18:2268,15,
YC18:2269,15,
YC18:2270,15,
YC18:2271,15,
YC18:2272,18,
YC18:2273,16,
YC18:2274,24,
YC18:2275,15,
YC18:2276,26,
YC18:2277,13,
YC18:2278,18,
YC18:2279,20,
YC18:2280,20,
YC18:2281,19,
YC18:2282,19,
YC18:2283,21,
YC18:2284,18,
YC18:2285,19,
YC18:2286,19,
YC18:2287,20,
YC18:2288,17,
YC18:2289,12,
YC18:2290,17,
YC18:2291,25,
YC18:2292,25,
YC18:2293,19,
YC18:2294,21,
YC18:2295,20,
YC18:2296,23,
YC18:2297,17,
YC18:2298,23,
YC18:2299,10,
YC18:2300,28,
YC18:2301,25,
YC18:2302,10,
YC18:2303,22,
YC18:2304,19,
YC18:2305,16,
YC18:2306,26,
YC18:2307,25,
YC18:2308,15,
YC18:2309,15,
YC18:2310,15,
YC18:2311,11,
YC18:2312,15,
YC18:2313,15,
YC18:2314,15,
YC18:2315,15,
YC18:2316,10,
YC18:2317,15,
YC18:2318,15,
YC18:2319,15,
YC18:2320,15,
YC18:2321,15,
YC18:2322,15,
YC18:2323,15,
YC18:2324,3,
YC18:2325,14,
YC18:2326,10,
YC18:2327,15,
YC18:2328,15,
YC18:2329,15,
YC18:2330,15,
YC18:2331,15,
YC18:2332,15,
YC18:2333,15,
YC18:2334,15,
YC18:2335,15,
YC18:2336,15,
YC18:2337,9,
YC18:2338,15,
YC18:2339,12,
YC18:2340,15,
YC18:2341,15,
YC18:2342,15,
YC18:2343,10,
YC18:2344,19,
YC18:2345,20,
YC18:2346,26,
YC18:2347,24,
YC18:2348,19,
YC18:2349,20,
YC18:2350,22,
YC18:2351,20,
YC18:2352,24,
YC18:2353,26,
YC18:2354,24,
YC18:2355,25,
YC18:2356,14,
YC18:2357,17,
YC18:2358,13,
YC18:2359,19,
YC18:2360,13,
YC18:2361,23,
YC18:2362,21,
YC18:2363,20,
YC18:2364,17,
YC18:2365,24,
YC18:2366,16,
YC18:2367,21,
YC18:2368,22,
YC18:2369,24,
YC18:2370,21,
YC18:2371,12,
YC18:2372,19,
YC18:2373,25,
YC18:2374,22,
YC18:2375,18,
YC18:2376,19,
YC18:2377,26,
YC18:2378,21,
YC18:2379,13,
YC18:2380,12,
YC18:2381,15,
YC18:2382,15,
YC18:2383,15,
YC18:2384,15,
YC18:2385,15,
YC18:2386,13,
YC18:2387,15,
YC18:2388,15,
YC18:2389,15,
YC18:2390,6,
YC18:2391,15,
YC18:2392,15,
YC18:2393,12,
YC18:2394,15,
YC18:2395,15,
YC18:2396,8,
YC18:2397,15,
YC18:2398,15,
YC18:2399,15,
YC18:2400,15,
YC18:2401,15,
YC18:2402,15,
YC18:2403,3,
YC18:2404,15,
YC18:2405,15,
YC18:2406,15,
YC18:2407,15,
YC18:2408,15,
YC18:2409,8,
YC18:2410,15,
YC18:2411,15,
YC18:2412,15,
YC18:2413,15,
YC18:2414,15,
YC18:2415,15,
YC18:2416,7,
YC18:2417,27,
YC18:2418,25,
YC18:2419,27,
YC18:2420,23,
YC18:2421,18,
YC18:2422,27,
YC18:2423,27,
YC18:2424,27,
YC18:2425,17,
YC18:2426,20,
YC18:2427,24,
YC18:2428,20,
YC18:2429,27,
YC18:2430,15,
YC18:2431,12,
YC18:2432,13,
YC18:2433,20,
YC18:2434,13,
YC18:2435,19,
YC18:2436,25,
YC18:2437,25,
YC18:2438,18,
YC18:2439,22,
YC18:2440,24,
YC18:2441,14,
YC18:2442,23,
YC18:2443,20,
YC18:2444,12,
YC18:2445,22,
YC18:2446,15,
YC18:2447,21,
YC18:2448,6,
YC18:2449,18,
YC18:2450,22,
YC18:2451,15,
YC18:2452,15,
YC18:2453,15,
YC18:2454,15,
YC18:2455,11,
YC18:2456,15,
YC18:2457,15,
YC18:2458,15,
YC18:2459,15,
YC18:2460,15,
YC18:2461,15,
YC18:2462,15,
YC18:2463,15,
YC18:2464,15,
YC18:2465,15,
YC18:2466,0,
YC18:2467,15,
YC18:2468,15,
YC18:2469,15,
YC18:2470,15,
YC18:2471,15,
YC18:2472,10,
YC18:2473,15,
YC18:2474,15,
YC18:2475,15,
YC18:2476,7,
YC18:2477,15,
YC18:2478,15,
YC18:2479,15,
YC18:2480,15,
YC18:2481,15,
YC18:2482,15,
YC18:2483,15,
YC18:2484,15,
YC18:2485,15,
YC18:2486,12,
YC18:2487,15,
YC18:2488,23,
YC18:2489,17,
YC18:2490,16,
YC18:2491,15,
YC18:2492,19,
YC18:2493,25,
YC18:2494,26,
YC18:2495,27,
YC18:2496,15,
YC18:2497,15,
YC18:2498,8,
YC18:2499,23,
YC18:2500,22,
YC18:2501,23,
YC18:2502,23,
YC18:2503,24,
YC18:2504,16,
YC18:2505,14,
YC18:2506,27,
YC18:2507,22,
YC18:2508,13,
YC18:2509,27,
YC18:2510,9,
YC18:2511,26,
YC18:2512,21,
YC18:2513,25,
YC18:2514,28,
YC18:2515,26,
YC18:2516,20,
YC18:2517,22,
YC18:2518,27,
YC18:2519,23,
YC18:2520,14,