Plot,Weeds
YC18:1001,No
YC18:1002,No
YC18:1003,No
YC18:1004,No
YC18:1005,No
YC18:1006,No
YC18:1007,No
YC18:1008,No
YC18:1009,No
YC18:1010,No
YC18:1011,No
YC18:1012,No
YC18:1013,No
YC18:1014,No
YC18:1015,No
YC18:1016,No
YC18:1017,Yes
YC18:1018,Yes
YC18:1019,Yes
YC18:1020,Yes
YC18:1021,Yes
YC18:1022,Yes
YC18:1023,Yes
YC18:1024,Yes
YC18:1025,No
YC18:1026,No
YC18:1027,No
YC18:1028,No
YC18:1029,No
YC18:1030,No
YC18:1031,No
YC18:1032,No
YC18:1033,No
YC18:1034,No
YC18:1035,No
YC18:1036,No
YC18:1037,No
YC18:1038,No
YC18:1039,Yes
YC18:1040,Yes
YC18:1041,Yes
YC18:1042,Yes
YC18:1043,Yes
YC18:1044,Yes
YC18:1045,Yes
YC18:1046,No
YC18:1047,No
YC18:1048,No
YC18:1049,Yes
YC18:1050,Yes
YC18:1051,Yes
YC18:1052,Yes
YC18:1053,Yes
YC18:1054,Yes
YC18:1055,Yes
YC18:1056,Yes
YC18:1057,Yes
YC18:1058,Yes
YC18:1059,No
YC18:1060,No
YC18:1061,No
YC18:1062,No
YC18:1063,No
YC18:1064,No
YC18:1065,No
YC18:1066,No
YC18:1067,No
YC18:1068,No
YC18:1069,No
YC18:1070,No
YC18:1071,No
YC18:1072,No
YC18:1073,Yes
YC18:1074,Yes
YC18:1075,Yes
YC18:1076,Yes
YC18:1077,Yes
YC18:1078,Yes
YC18:1079,Yes
YC18:1080,Yes
YC18:1081,No
YC18:1082,No
YC18:1083,No
YC18:1084,No
YC18:1085,No
YC18:1086,No
YC18:1087,No
YC18:1088,No
YC18:1089,No
YC18:1090,No
YC18:1091,No
YC18:1092,No
YC18:1093,No
YC18:1094,No
YC18:1095,No
YC18:1096,No
YC18:1097,No
YC18:1098,No
YC18:1099,No
YC18:1100,No
YC18:1101,No
YC18:1102,No
YC18:1103,No
YC18:1104,No
YC18:1105,No
YC18:1106,No
YC18:1107,No
YC18:1108,No
YC18:1109,No
YC18:1110,No
YC18:1111,No
YC18:1112,Yes
YC18:1113,Yes
YC18:1114,Yes
YC18:1115,Yes
YC18:1116,Yes
YC18:1117,No
YC18:1118,No
YC18:1119,Yes
YC18:1120,Yes
YC18:1121,Yes
YC18:1122,No
YC18:1123,No
YC18:1124,No
YC18:1125,No
YC18:1126,No
YC18:1127,No
YC18:1128,No
YC18:1129,No
YC18:1130,No
YC18:1131,No
YC18:1132,No
YC18:1133,No
YC18:1134,No
YC18:1135,No
YC18:1136,No
YC18:1137,Yes
YC18:1138,Yes
YC18:1139,Yes
YC18:1140,Yes
YC18:1141,Yes
YC18:1142,Yes
YC18:1143,Yes
YC18:1144,Yes
YC18:1145,No
YC18:1146,No
YC18:1147,Yes
YC18:1148,Yes
YC18:1149,Yes
YC18:1150,Yes
YC18:1151,Yes
YC18:1152,Yes
YC18:1153,Yes
YC18:1154,Yes
YC18:1155,No
YC18:1156,No
YC18:1157,No
YC18:1158,No
YC18:1159,No
YC18:1160,No
YC18:1161,No
YC18:1162,No
YC18:1163,No
YC18:1164,No
YC18:1165,No
YC18:1166,Yes
YC18:1167,No
YC18:1168,Yes
YC18:1169,Yes
YC18:1170,Yes
YC18:1171,No
YC18:1172,No
YC18:1173,Yes
YC18:1174,Yes
YC18:1175,Yes
YC18:1176,Yes
YC18:1177,No
YC18:1178,No
YC18:1179,No
YC18:1180,No
YC18:1181,No
YC18:1182,No
YC18:1183,No
YC18:1184,No
YC18:1185,No
YC18:1186,No
YC18:1187,No
YC18:1188,No
YC18:1189,No
YC18:1190,No
YC18:1191,No
YC18:1192,No
YC18:1193,No
YC18:1194,No
YC18:1195,No
YC18:1196,No
YC18:1197,No
YC18:1198,No
YC18:1199,No
YC18:1200,No
YC18:1201,No
YC18:1202,No
YC18:1203,No
YC18:1204,No
YC18:1205,No
YC18:1206,Yes
YC18:1207,No
YC18:1208,No
YC18:1209,No
YC18:1210,Yes
YC18:1211,Yes
YC18:1212,Yes
YC18:1213,No
YC18:1214,No
YC18:1215,Yes
YC18:1216,Yes
YC18:1217,Yes
YC18:1218,Yes
YC18:1219,Yes
YC18:1220,No
YC18:1221,No
YC18:1222,No
YC18:1223,No
YC18:1224,No
YC18:1225,No
YC18:1226,No
YC18:1227,No
YC18:1228,No
YC18:1229,No
YC18:1230,No
YC18:1231,No
YC18:1232,No
YC18:1233,Yes
YC18:1234,Yes
YC18:1235,Yes
YC18:1236,Yes
YC18:1237,Yes
YC18:1238,Yes
YC18:1239,No
YC18:1240,No
YC18:1241,No
YC18:1242,No
YC18:1243,No
YC18:1244,No
YC18:1245,Yes
YC18:1246,Yes
YC18:1247,Yes
YC18:1248,No
YC18:1249,No
YC18:1250,No
YC18:1251,No
YC18:1252,No
YC18:1253,No
YC18:1254,No
YC18:1255,No
YC18:1256,No
YC18:1257,No
YC18:1258,No
YC18:1259,No
YC18:1260,No
YC18:1261,No
YC18:1262,No
YC18:1263,No
YC18:1264,No
YC18:1265,No
YC18:1266,Yes
YC18:1267,No
YC18:1268,No
YC18:1269,Yes
YC18:1270,Yes
YC18:1271,Yes
YC18:1272,No
YC18:1273,No
YC18:1274,No
YC18:1275,No
YC18:1276,No
YC18:1277,No
YC18:1278,No
YC18:1279,No
YC18:1280,No
YC18:1281,No
YC18:1282,No
YC18:1283,No
YC18:1284,No
YC18:1285,No
YC18:1286,No
YC18:1287,No
YC18:1288,No
YC18:1289,No
YC18:1290,No
YC18:1291,No
YC18:1292,No
YC18:1293,No
YC18:1294,No
YC18:1295,No
YC18:1296,No
YC18:1297,No
YC18:1298,No
YC18:1299,No
YC18:1300,No
YC18:1301,No
YC18:1302,No
YC18:1303,No
YC18:1304,No
YC18:1305,No
YC18:1306,No
YC18:1307,No
YC18:1308,No
YC18:1309,No
YC18:1310,Yes
YC18:1311,Yes
YC18:1312,Yes
YC18:1313,Yes
YC18:1314,No
YC18:1315,No
YC18:1316,No
YC18:1317,No
YC18:1318,No
YC18:1319,No
YC18:1320,No
YC18:1321,No
YC18:1322,No
YC18:1323,No
YC18:1324,No
YC18:1325,No
YC18:1326,No
YC18:1327,No
YC18:1328,No
YC18:1329,No
YC18:1330,No
YC18:1331,No
YC18:1332,No
YC18:1333,No
YC18:1334,No
YC18:1335,No
YC18:1336,No
YC18:1337,No
YC18:1338,No
YC18:1339,No
YC18:1340,No
YC18:1341,No
YC18:1342,No
YC18:1343,No
YC18:1344,No
YC18:1345,No
YC18:1346,No
YC18:1347,No
YC18:1348,No
YC18:1349,No
YC18:1350,No
YC18:1351,No
YC18:1352,No
YC18:1353,No
YC18:1354,No
YC18:1355,No
YC18:1356,No
YC18:1357,No
YC18:1358,No
YC18:1359,No
YC18:1360,No
YC18:1361,No
YC18:1362,No
YC18:1363,No
YC18:1364,No
YC18:1365,No
YC18:1366,No
YC18:1367,No
YC18:1368,No
YC18:1369,No
YC18:1370,No
YC18:1371,No
YC18:1372,No
YC18:1373,No
YC18:1374,No
YC18:1375,No
YC18:1376,No
YC18:1377,No
YC18:1378,No
YC18:1379,No
YC18:1380,No
YC18:1381,No
YC18:1382,No
YC18:1383,No
YC18:1384,No
YC18:1385,No
YC18:1386,No
YC18:1387,No
YC18:1388,No
YC18:1389,No
YC18:1390,No
YC18:1391,No
YC18:1392,No
YC18:1393,No
YC18:1394,No
YC18:1395,No
YC18:1396,No
YC18:1397,No
YC18:1398,No
YC18:1399,No
YC18:1400,No
YC18:1401,No
YC18:1402,No
YC18:1403,No
YC18:1404,No
YC18:1405,No
YC18:1406,No
YC18:1407,No
YC18:1408,No
YC18:1409,No
YC18:1410,No
YC18:1411,No
YC18:1412,No
YC18:1413,No
YC18:1414,No
YC18:1415,No
YC18:1416,No
YC18:1417,No
YC18:1418,No
YC18:1419,No
YC18:1420,No
YC18:1421,No
YC18:1422,No
YC18:1423,No
YC18:1424,No
YC18:1425,No
YC18:1426,No
YC18:1427,No
YC18:1428,No
YC18:1429,No
YC18:1430,No
YC18:1431,No
YC18:1432,No
YC18:1433,No
YC18:1434,No
YC18:1435,No
YC18:1436,No
YC18:1437,No
YC18:1438,No
YC18:1439,No
YC18:1440,No
YC18:1441,No
YC18:1442,No
YC18:1443,No
YC18:1444,No
YC18:1445,No
YC18:1446,No
YC18:1447,No
YC18:1448,No
YC18:1449,No
YC18:1450,No
YC18:1451,No
YC18:1452,No
YC18:1453,No
YC18:1454,No
YC18:1455,No
YC18:1456,No
YC18:1457,No
YC18:1458,No
YC18:1459,No
YC18:1460,No
YC18:1461,No
YC18:1462,No
YC18:1463,No
YC18:1464,No
YC18:1465,No
YC18:1466,No
YC18:1467,No
YC18:1468,No
YC18:1469,No
YC18:1470,No
YC18:1471,No
YC18:1472,No
YC18:1473,No
YC18:1474,No
YC18:1475,No
YC18:1476,No
YC18:1477,No
YC18:1478,No
YC18:1479,No
YC18:1480,No
YC18:1481,No
YC18:1482,No
YC18:1483,No
YC18:1484,No
YC18:1485,No
YC18:1486,No
YC18:1487,No
YC18:1488,No
YC18:1489,No
YC18:1490,No
YC18:1491,No
YC18:1492,No
YC18:1493,No
YC18:1494,No
YC18:1495,No
YC18:1496,No
YC18:1497,No
YC18:1498,No
YC18:1499,No
YC18:1500,No
YC18:1501,No
YC18:1502,No
YC18:1503,No
YC18:1504,No
YC18:1505,No
YC18:1506,No
YC18:1507,No
YC18:1508,No
YC18:1509,No
YC18:1510,No
YC18:1511,No
YC18:1512,No
YC18:1513,No
YC18:1514,No
YC18:1515,No
YC18:1516,No
YC18:1517,No
YC18:1518,No
YC18:1519,No
YC18:1520,No
YC18:2001,No
YC18:2002,No
YC18:2003,No
YC18:2004,No
YC18:2005,No
YC18:2006,No
YC18:2007,No
YC18:2008,No
YC18:2009,No
YC18:2010,No
YC18:2011,No
YC18:2012,No
YC18:2013,No
YC18:2014,No
YC18:2015,No
YC18:2016,No
YC18:2017,No
YC18:2018,No
YC18:2019,No
YC18:2020,No
YC18:2021,No
YC18:2022,No
YC18:2023,No
YC18:2024,No
YC18:2025,No
YC18:2026,No
YC18:2027,No
YC18:2028,No
YC18:2029,No
YC18:2030,No
YC18:2031,No
YC18:2032,No
YC18:2033,No
YC18:2034,No
YC18:2035,No
YC18:2036,No
YC18:2037,No
YC18:2038,No
YC18:2039,No
YC18:2040,No
YC18:2041,No
YC18:2042,No
YC18:2043,No
YC18:2044,No
YC18:2045,No
YC18:2046,No
YC18:2047,No
YC18:2048,No
YC18:2049,No
YC18:2050,No
YC18:2051,No
YC18:2052,No
YC18:2053,No
YC18:2054,No
YC18:2055,No
YC18:2056,No
YC18:2057,No
YC18:2058,No
YC18:2059,No
YC18:2060,No
YC18:2061,No
YC18:2062,No
YC18:2063,No
YC18:2064,No
YC18:2065,No
YC18:2066,No
YC18:2067,No
YC18:2068,No
YC18:2069,No
YC18:2070,No
YC18:2071,No
YC18:2072,No
YC18:2073,No
YC18:2074,No
YC18:2075,No
YC18:2076,No
YC18:2077,No
YC18:2078,No
YC18:2079,No
YC18:2080,No
YC18:2081,No
YC18:2082,No
YC18:2083,No
YC18:2084,No
YC18:2085,No
YC18:2086,No
YC18:2087,No
YC18:2088,No
YC18:2089,No
YC18:2090,No
YC18:2091,No
YC18:2092,No
YC18:2093,No
YC18:2094,No
YC18:2095,No
YC18:2096,No
YC18:2097,No
YC18:2098,No
YC18:2099,No
YC18:2100,No
YC18:2101,No
YC18:2102,No
YC18:2103,No
YC18:2104,No
YC18:2105,No
YC18:2106,No
YC18:2107,No
YC18:2108,Yes
YC18:2109,Yes
YC18:2110,Yes
YC18:2111,No
YC18:2112,No
YC18:2113,No
YC18:2114,No
YC18:2115,No
YC18:2116,No
YC18:2117,No
YC18:2118,No
YC18:2119,No
YC18:2120,No
YC18:2121,No
YC18:2122,No
YC18:2123,No
YC18:2124,No
YC18:2125,No
YC18:2126,No
YC18:2127,No
YC18:2128,No
YC18:2129,No
YC18:2130,No
YC18:2131,No
YC18:2132,No
YC18:2133,No
YC18:2134,No
YC18:2135,No
YC18:2136,No
YC18:2137,No
YC18:2138,No
YC18:2139,No
YC18:2140,No
YC18:2141,No
YC18:2142,No
YC18:2143,No
YC18:2144,No
YC18:2145,No
YC18:2146,No
YC18:2147,No
YC18:2148,No
YC18:2149,No
YC18:2150,No
YC18:2151,No
YC18:2152,No
YC18:2153,No
YC18:2154,No
YC18:2155,No
YC18:2156,No
YC18:2157,No
YC18:2158,No
YC18:2159,No
YC18:2160,No
YC18:2161,No
YC18:2162,No
YC18:2163,No
YC18:2164,No
YC18:2165,No
YC18:2166,No
YC18:2167,No
YC18:2168,No
YC18:2169,No
YC18:2170,No
YC18:2171,No
YC18:2172,No
YC18:2173,No
YC18:2174,No
YC18:2175,No
YC18:2176,No
YC18:2177,No
YC18:2178,No
YC18:2179,No
YC18:2180,No
YC18:2181,No
YC18:2182,No
YC18:2183,No
YC18:2184,No
YC18:2185,No
YC18:2186,No
YC18:2187,No
YC18:2188,No
YC18:2189,No
YC18:2190,No
YC18:2191,No
YC18:2192,No
YC18:2193,No
YC18:2194,Yes
YC18:2195,Yes
YC18:2196,Yes
YC18:2197,Yes
YC18:2198,No
YC18:2199,No
YC18:2200,No
YC18:2201,No
YC18:2202,No
YC18:2203,No
YC18:2204,No
YC18:2205,Yes
YC18:2206,Yes
YC18:2207,Yes
YC18:2208,Yes
YC18:2209,No
YC18:2210,No
YC18:2211,No
YC18:2212,No
YC18:2213,No
YC18:2214,No
YC18:2215,No
YC18:2216,No
YC18:2217,No
YC18:2218,No
YC18:2219,No
YC18:2220,No
YC18:2221,No
YC18:2222,No
YC18:2223,No
YC18:2224,No
YC18:2225,No
YC18:2226,No
YC18:2227,No
YC18:2228,No
YC18:2229,No
YC18:2230,No
YC18:2231,No
YC18:2232,No
YC18:2233,No
YC18:2234,No
YC18:2235,No
YC18:2236,No
YC18:2237,No
YC18:2238,No
YC18:2239,No
YC18:2240,No
YC18:2241,No
YC18:2242,No
YC18:2243,No
YC18:2244,No
YC18:2245,No
YC18:2246,No
YC18:2247,No
YC18:2248,No
YC18:2249,No
YC18:2250,No
YC18:2251,No
YC18:2252,No
YC18:2253,No
YC18:2254,No
YC18:2255,No
YC18:2256,No
YC18:2257,No
YC18:2258,No
YC18:2259,No
YC18:2260,No
YC18:2261,No
YC18:2262,No
YC18:2263,No
YC18:2264,No
YC18:2265,No
YC18:2266,No
YC18:2267,No
YC18:2268,No
YC18:2269,No
YC18:2270,No
YC18:2271,No
YC18:2272,No
YC18:2273,No
YC18:2274,No
YC18:2275,No
YC18:2276,No
YC18:2277,No
YC18:2278,No
YC18:2279,No
YC18:2280,No
YC18:2281,No
YC18:2282,No
YC18:2283,No
YC18:2284,No
YC18:2285,No
YC18:2286,No
YC18:2287,No
YC18:2288,No
YC18:2289,No
YC18:2290,No
YC18:2291,No
YC18:2292,No
YC18:2293,No
YC18:2294,No
YC18:2295,No
YC18:2296,No
YC18:2297,No
YC18:2298,No
YC18:2299,No
YC18:2300,No
YC18:2301,No
YC18:2302,No
YC18:2303,No
YC18:2304,No
YC18:2305,No
YC18:2306,No
YC18:2307,No
YC18:2308,No
YC18:2309,No
YC18:2310,No
YC18:2311,No
YC18:2312,No
YC18:2313,No
YC18:2314,No
YC18:2315,No
YC18:2316,No
YC18:2317,No
YC18:2318,No
YC18:2319,No
YC18:2320,No
YC18:2321,No
YC18:2322,No
YC18:2323,No
YC18:2324,No
YC18:2325,No
YC18:2326,No
YC18:2327,No
YC18:2328,No
YC18:2329,No
YC18:2330,No
YC18:2331,No
YC18:2332,No
YC18:2333,No
YC18:2334,No
YC18:2335,No
YC18:2336,No
YC18:2337,No
YC18:2338,No
YC18:2339,No
YC18:2340,No
YC18:2341,No
YC18:2342,No
YC18:2343,No
YC18:2344,No
YC18:2345,No
YC18:2346,No
YC18:2347,No
YC18:2348,No
YC18:2349,No
YC18:2350,No
YC18:2351,Yes
YC18:2352,Yes
YC18:2353,Yes
YC18:2354,Yes
YC18:2355,No
YC18:2356,No
YC18:2357,No
YC18:2358,No
YC18:2359,No
YC18:2360,No
YC18:2361,No
YC18:2362,No
YC18:2363,No
YC18:2364,No
YC18:2365,No
YC18:2366,No
YC18:2367,No
YC18:2368,No
YC18:2369,No
YC18:2370,No
YC18:2371,No
YC18:2372,No
YC18:2373,No
YC18:2374,No
YC18:2375,No
YC18:2376,No
YC18:2377,No
YC18:2378,No
YC18:2379,No
YC18:2380,No
YC18:2381,No
YC18:2382,No
YC18:2383,No
YC18:2384,No
YC18:2385,No
YC18:2386,No
YC18:2387,No
YC18:2388,No
YC18:2389,No
YC18:2390,No
YC18:2391,No
YC18:2392,No
YC18:2393,No
YC18:2394,No
YC18:2395,No
YC18:2396,No
YC18:2397,No
YC18:2398,No
YC18:2399,No
YC18:2400,No
YC18:2401,No
YC18:2402,No
YC18:2403,No
YC18:2404,No
YC18:2405,No
YC18:2406,No
YC18:2407,No
YC18:2408,No
YC18:2409,No
YC18:2410,No
YC18:2411,No
YC18:2412,No
YC18:2413,No
YC18:2414,No
YC18:2415,No
YC18:2416,No
YC18:2417,No
YC18:2418,No
YC18:2419,No
YC18:2420,No
YC18:2421,No
YC18:2422,No
YC18:2423,No
YC18:2424,No
YC18:2425,No
YC18:2426,No
YC18:2427,No
YC18:2428,No
YC18:2429,No
YC18:2430,No
YC18:2431,No
YC18:2432,Yes
YC18:2433,Yes
YC18:2434,Yes
YC18:2435,No
YC18:2436,No
YC18:2437,No
YC18:2438,No
YC18:2439,No
YC18:2440,No
YC18:2441,No
YC18:2442,No
YC18:2443,No
YC18:2444,No
YC18:2445,No
YC18:2446,Yes
YC18:2447,Yes
YC18:2448,Yes
YC18:2449,Yes
YC18:2450,Yes
YC18:2451,No
YC18:2452,No
YC18:2453,No
YC18:2454,No
YC18:2455,No
YC18:2456,No
YC18:2457,No
YC18:2458,No
YC18:2459,No
YC18:2460,No
YC18:2461,No
YC18:2462,No
YC18:2463,No
YC18:2464,No
YC18:2465,No
YC18:2466,No
YC18:2467,No
YC18:2468,No
YC18:2469,No
YC18:2470,No
YC18:2471,No
YC18:2472,No
YC18:2473,No
YC18:2474,No
YC18:2475,No
YC18:2476,No
YC18:2477,No
YC18:2478,No
YC18:2479,No
YC18:2480,No
YC18:2481,No
YC18:2482,No
YC18:2483,No
YC18:2484,No
YC18:2485,No
YC18:2486,No
YC18:2487,No
YC18:2488,No
YC18:2489,No
YC18:2490,No
YC18:2491,No
YC18:2492,No
YC18:2493,No
YC18:2494,No
YC18:2495,No
YC18:2496,No
YC18:2497,No
YC18:2498,No
YC18:2499,No
YC18:2500,No
YC18:2501,No
YC18:2502,No
YC18:2503,No
YC18:2504,No
YC18:2505,No
YC18:2506,No
YC18:2507,No
YC18:2508,No
YC18:2509,No
YC18:2510,No
YC18:2511,No
YC18:2512,No
YC18:2513,No
YC18:2514,No
YC18:2515,No
YC18:2516,No
YC18:2517,No
YC18:2518,No
YC18:2519,No
YC18:2520,No