Year,Day,Precipitation,GDD,Interval,Numeric
2019,7/21/19,0.68,1037.5,1000-1050,15
2020,7/8/20,0.11,1027,1000-1050,15
2018,7/2/18,1.24,1088,1050-1100,16
2021,7/7/21,0.34,1088.5,1050-1100,16
2020,7/9/20,0.15,1055,1050-1100,16
2019,7/26/19,0.12,1138.5,1100-1150,17
2018,7/5/18,0.35,1182.5,1150-1200,18
2020,7/14/20,0.26,1171.5,1150-1200,18
2020,7/15/20,0.18,1185.5,1150-1200,18
2021,7/15/21,0.71,1231.5,1200-1250,19
2019,7/29/19,0.34,1202,1200-1250,19
2020,7/18/20,0.29,1255,1250-1300,20
2020,7/21/20,0.24,1322.5,1300-1350,21
2020,7/22/20,0.15,1340,1300-1350,21
2019,8/4/19,0.11,1326,1300-1350,21
2019,8/6/19,0.12,1375,1350-1400,22
2018,7/13/18,1.52,1432,1400-1450,23
2020,7/26/20,0.5,1426.5,1400-1450,23
2021,7/23/21,0.29,1421.5,1400-1450,23
2019,8/11/19,0.81,1468.5,1450-1500,24
2021,7/25/21,0.11,1473.5,1450-1500,24
2019,8/14/19,0.63,1527,1500-1550,25
2019,8/16/19,0.58,1563,1550-1600,26
2021,7/29/21,0.12,1586.5,1550-1600,26
2019,8/18/19,3.1,1602,1600-1650,27
2018,7/21/18,0.42,1638.5,1600-1650,27
2018,7/20/18,0.25,1615,1600-1650,27
2018,5/30/18,1.23,328,300-350,1
2020,6/5/20,0.17,317.5,300-350,1
2020,6/7/20,0.3,351.5,350-400,2
2019,6/21/19,0.15,364,350-400,2
2019,6/24/19,1.09,415,400-450,3
2018,6/3/18,0.24,408.5,400-450,3
2020,6/10/20,0.17,421.5,400-450,3
2019,6/28/19,0.28,491,450-500,4
2018,6/6/18,0.25,462.5,450-500,4
2018,6/10/18,0.28,537.5,500-550,5
2019,7/1/19,1.1,562.5,550-600,6
2019,7/2/19,0.86,583,550-600,6
2020,6/19/20,0.74,587.5,550-600,6
2020,6/22/20,0.16,640.5,600-650,7
2018,6/16/18,0.79,676,650-700,8
2019,7/6/19,0.13,677.5,650-700,8
2018,6/18/18,0.88,735,700-750,9
2021,6/21/21,0.72,742,700-750,9
2018,6/17/18,0.41,705,700-750,9
2020,6/29/20,1.15,783,750-800,10
2018,6/19/18,0.3,757.5,750-800,10
2019,7/10/19,0.29,769.5,750-800,10
2018,6/20/18,0.14,776,750-800,10
2020,6/30/20,0.85,806.5,800-850,11
2021,6/29/21,0.72,897.5,850-900,12
2018,6/26/18,1.29,920,900-950,13
2019,7/16/19,1.12,916.5,900-950,13