Date,Maximum Temperature degrees (F),Minimum Temperature degrees (F),Average Temp,Precipitation (inches)
6/1/18,85,66,75.5,0
6/2/18,81,62,71.5,0
6/3/18,70,59,64.5,0.24
6/4/18,69,52,60.5,0
6/5/18,86,60,73,0
6/6/18,80,61,70.5,0.25
6/7/18,78,59,68.5,0.02
6/8/18,78,62,70,0
6/9/18,74,63,68.5,0
6/10/18,72,64,68,0.28
6/11/18,77,64,70.5,0
6/12/18,73,66,69.5,0.04
6/13/18,81,58,69.5,0
6/14/18,80,64,72,0
6/15/18,81,68,74.5,0
6/16/18,94,71,82.5,0.79
6/17/18,87,71,79,0.41
6/18/18,90,70,80,0.88
6/19/18,79,66,72.5,0.3
6/20/18,72,65,68.5,0.14
6/21/18,80,68,74,0
6/22/18,79,64,71.5,0
6/23/18,83,64,73.5,0
6/24/18,84,66,75,0
6/25/18,82,68,75,0
6/26/18,84,66,75,1.29
6/27/18,72,67,69.5,0
6/28/18,82,68,75,0
6/29/18,88,76,82,0
6/30/18,99,80,89.5,0
7/1/18,89,73,81,T
7/2/18,77,65,71,1.24
7/3/18,90,75,82.5,T
7/4/18,89,75,82,0.04
7/5/18,85,75,80,0.35
7/6/18,84,68,76,0
7/7/18,85,72,78.5,0
7/8/18,88,74,81,0
7/9/18,92,76,84,0
7/10/18,91,70,80.5,0
7/11/18,88,73,80.5,T
7/12/18,91,77,84,0.01
7/13/18,95,75,85,1.52
7/14/18,84,71,77.5,0.06
7/15/18,89,72,80.5,0
7/16/18,89,66,77.5,0
7/17/18,86,66,76,0
7/18/18,82,64,73,0
7/19/18,84,71,77.5,0
7/20/18,75,67,71,0.25
7/21/18,82,65,73.5,0.42
7/22/18,83,66,74.5,0
7/23/18,83,65,74,0
7/24/18,85,63,74,0
7/25/18,85,67,76,0
7/26/18,83,62,72.5,0.08
7/27/18,72,60,66,0.01
7/28/18,79,57,68,0
7/29/18,82,60,71,0.09
7/30/18,84,61,72.5,0
7/31/18,85,62,73.5,0
8/1/18,87,68,77.5,0.08
8/2/18,80,58,69,0.04
8/3/18,74,59,66.5,0
8/4/18,84,66,75,0.78
8/5/18,79,73,76,0.04
8/6/18,87,69,78,0
8/7/18,84,67,75.5,0
8/8/18,82,67,74.5,0.02
8/9/18,89,71,80,0
8/10/18,88,62,75,0
8/11/18,87,69,78,0
8/12/18,89,66,77.5,0
8/13/18,89,73,81,0
8/14/18,91,75,83,0
8/15/18,91,68,79.5,0
8/16/18,85,66,75.5,0
8/17/18,86,68,77,0
8/18/18,84,67,75.5,0
8/19/18,86,64,75,0
8/20/18,86,72,79,0.08
8/21/18,80,67,73.5,0.05
8/22/18,75,58,66.5,0
8/23/18,83,54,68.5,0
8/24/18,82,67,74.5,0.1
8/25/18,71,65,68,1.25
8/26/18,81,68,74.5,0
8/27/18,87,71,79,0.02
8/28/18,85,65,75,0.18
8/29/18,68,55,61.5,0.22
8/30/18,75,56,65.5,0
8/31/18,78,61,69.5,0.05
,82.92391304,66.36956522,74.64673913,11.62
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,