Year,Date,Max_T,Min_T,Precipitation,GDD
2019,8/18/19,81,62,3.1,1602
2018,7/13/18,95,75,1.52,1432
2018,6/26/18,84,66,1.29,920
2018,7/2/18,77,65,1.24,1088
2018,5/30/18,93,68,1.23,328
2020,6/29/20,85,65,1.15,783
2019,7/16/19,90,66,1.12,916.5
2019,7/1/19,79,65,1.1,562.5
2019,6/24/19,73,60,1.09,415
2018,6/18/18,90,70,0.88,735
2019,7/2/19,74,67,0.86,583
2020,6/30/20,81,66,0.85,806.5
2019,8/11/19,70,63,0.81,1468.5
2018,6/16/18,94,71,0.79,676
2020,6/19/20,83,62,0.74,587.5
2021,6/21/21,72,50,0.72,742
2021,6/29/21,83,64,0.72,897.5
2021,7/15/21,74,58,0.71,1231.5
2019,7/21/19,73,58,0.68,1037.5
2019,8/21/19,80,55,0.68,1650.5
2019,8/14/19,80,60,0.63,1527
2019,8/16/19,78,62,0.58,1563
2020,7/26/20,87,68,0.5,1426.5
2018,7/21/18,82,65,0.42,1638.5
2018,6/17/18,87,71,0.41,705
2018,7/5/18,85,75,0.35,1182.5
2019,7/29/19,74,61,0.34,1202
2021,7/7/21,75,53,0.34,1088.5
2018,6/19/18,79,66,0.3,757.5
2020,6/7/20,75,60,0.3,351.5
2019,7/10/19,77,67,0.29,769.5
2020,7/18/20,89,67,0.29,1255
2021,7/23/21,84,71,0.29,1421.5
2018,6/10/18,72,64,0.28,537.5
2019,6/28/19,75,64,0.28,491
2020,7/14/20,84,70,0.26,1171.5
2018,6/6/18,80,61,0.25,462.5
2018,7/20/18,75,67,0.25,1615
2018,6/3/18,70,59,0.24,408.5
2020,7/21/20,80,63,0.24,1322.5
2020,7/15/20,73,55,0.18,1185.5
2020,6/5/20,83,57,0.17,317.5
2020,6/10/20,82,56,0.17,421.5
2020,6/22/20,83,59,0.16,640.5
2019,6/21/19,75,61,0.15,364
2020,7/9/20,91,70,0.15,1055
2020,7/22/20,79,56,0.15,1340
2018,6/20/18,72,65,0.14,776
2019,7/6/19,79,66,0.13,677.5
2019,7/26/19,81,66,0.12,1138.5
2019,8/6/19,83,62,0.12,1375
2021,7/29/21,91,70,0.12,1586.5
2019,8/4/19,85,65,0.11,1326
2020,7/8/20,86,70,0.11,1027
2021,7/25/21,89,61,0.11,1473.5
2020,7/6/20,89,72,0,973.5
2020,7/28/20,81,65,0,1472
2020,6/24/20,74,54,0,668.5
2021,6/27/21,73,63,0,853.5
2018,7/14/18,84,71,0,1459.5
2019,6/25/19,70,57,0,428.5
2019,7/17/19,84,67,0,942
2020,7/19/20,89,66,0,1281
2020,7/27/20,84,61,0,1449
2018,6/12/18,73,66,0,577.5
2018,7/4/18,89,75,0,1152.5
2018,5/31/18,74,64,0,347
2019,6/23/19,76,63,0,398.5
2019,7/11/19,75,61,0,787.5
2021,6/20/21,77,62,0,731
2018,6/7/18,78,59,0,481
2019,6/30/19,87,67,0,540.5
2019,7/5/19,81,64,0,655
2020,6/21/20,72,58,0,619.5
2020,7/7/20,85,66,0,999
2021,6/28/21,81,60,0,874
2018,7/12/18,91,77,0,1397
2020,6/6/20,79,54,0,334
2021,6/30/21,81,62,0,919
2018,6/1/18,85,66,0,372.5
2018,6/2/18,81,62,0,394
2018,6/4/18,69,52,0,419
2018,6/5/18,86,60,0,442
2018,6/8/18,78,62,0,501
2018,6/9/18,74,63,0,519.5
2018,6/11/18,77,64,0,558
2018,6/13/18,81,58,0,597
2018,6/14/18,80,64,0,619
2018,6/15/18,81,68,0,643.5
2018,6/21/18,80,68,0,800
2018,6/22/18,79,64,0,821.5
2018,6/23/18,83,64,0,845
2018,6/24/18,84,66,0,870
2018,6/25/18,82,68,0,895
2018,6/27/18,72,67,0,939.5
2018,6/28/18,82,68,0,964.5
2018,6/29/18,88,76,0,996.5
2018,6/30/18,99,80,0,1036
2018,7/1/18,89,73,0,1067
2018,7/3/18,90,75,0,1120.5
2018,7/6/18,84,68,0,1208.5
2018,7/7/18,85,72,0,1237
2018,7/8/18,88,74,0,1268
2018,7/9/18,92,76,0,1302
2018,7/10/18,91,70,0,1332.5
2018,7/11/18,88,73,0,1363
2018,7/15/18,89,72,0,1490
2018,7/16/18,89,66,0,1517.5
2018,7/17/18,86,66,0,1543.5
2018,7/18/18,82,64,0,1566.5
2018,7/19/18,84,71,0,1594
2018,7/22/18,83,66,0,1663
2018,7/23/18,83,65,0,1687
2018,7/24/18,85,63,0,1711
2019,6/17/19,72,57,0,302
2019,6/18/19,73,53,0,315
2019,6/19/19,71,54,0,327.5
2019,6/20/19,76,61,0,346
2019,6/22/19,73,57,0,379
2019,6/26/19,78,60,0,447.5
2019,6/27/19,83,65,0,471.5
2019,6/29/19,83,63,0,514
2019,7/3/19,84,63,0,606.5
2019,7/4/19,84,68,0,632.5
2019,7/7/19,80,60,0,697.5
2019,7/8/19,83,66,0,722
2019,7/9/19,83,68,0,747.5
2019,7/12/19,81,66,0,811
2019,7/13/19,84,66,0,836
2019,7/14/19,84,69,0,862.5
2019,7/15/19,89,70,0,890.5
2019,7/18/19,84,69,0,968.5
2019,7/19/19,86,67,0,995
2019,7/20/19,93,68,0,1022
2019,7/22/19,78,57,0,1055
2019,7/23/19,77,59,0,1073
2019,7/24/19,80,59,0,1092.5
2019,7/25/19,83,62,0,1115
2019,7/27/19,84,63,0,1162
2019,7/28/19,83,62,0,1184.5
2019,7/30/19,75,55,0,1217
2019,7/31/19,73,54,0,1230.5
2019,8/1/19,79,59,0,1249.5
2019,8/2/19,84,66,0,1274.5
2019,8/3/19,84,69,0,1301
2019,8/5/19,85,68,0,1352.5
2019,8/7/19,82,66,0,1399
2019,8/8/19,83,55,0,1418
2019,8/9/19,75,54,0,1432.5
2019,8/10/19,77,62,0,1452
2019,8/12/19,79,62,0,1489
2019,8/13/19,77,59,0,1507
2019,8/15/19,74,58,0,1543
2019,8/17/19,77,58,0,1580.5
2019,8/19/19,72,51,0,1613.5
2019,8/20/19,79,60,0,1633
2020,6/8/20,84,64,0,375.5
2020,6/9/20,94,68,0,402.5
2020,6/11/20,69,55,0,433.5
2020,6/12/20,76,55,0,449
2020,6/13/20,74,49,0,461
2020,6/14/20,70,52,0,472
2020,6/15/20,76,56,0,488
2020,6/16/20,87,63,0,512.5
2020,6/17/20,89,64,0,537.5
2020,6/18/20,88,69,0,565
2020,6/20/20,74,60,0,604.5
2020,6/23/20,72,56,0,654.5
2020,6/25/20,77,56,0,685
2020,6/26/20,84,67,0,710.5
2020,6/27/20,85,61,0,733.5
2020,6/28/20,85,64,0,758
2020,7/1/20,86,71,0,835
2020,7/2/20,87,71,0,863.5
2020,7/3/20,89,67,0,890
2020,7/4/20,89,68,0,917
2020,7/5/20,89,69,0,944.5
2020,7/10/20,78,64,0,1076
2020,7/11/20,82,66,0,1100
2020,7/12/20,82,62,0,1122
2020,7/13/20,81,64,0,1144.5
2020,7/16/20,80,57,0,1204
2020,7/17/20,83,66,0,1228.5
2020,7/20/20,80,60,0,1301
2020,7/23/20,67,54,0,1350.5
2020,7/24/20,79,62,0,1371
2020,7/25/20,91,71,0,1399.5
2020,7/29/20,82,59,0,1492.5
2020,7/30/20,82,58,0,1512.5
2020,7/31/20,80,56,0,1530.5
2020,8/1/20,83,60,0,1552
2020,8/2/20,80,60,0,1572
2020,8/3/20,71,52,0,1583.5
2020,8/4/20,72,49,0,1594.5
2020,8/5/20,77,55,0,1610.5
2020,8/6/20,76,58,0,1627.5
2020,8/7/20,78,64,0,1648.5
2021,6/4/21,88,70,0,324.5
2021,6/5/21,95,73,0,354
2021,6/6/21,97,74,0,384
2021,6/7/21,91,73,0,413.5
2021,6/8/21,93,72,0,442.5
2021,6/9/21,94,70,0,470.5
2021,6/10/21,93,74,0,500.5
2021,6/11/21,96,75,0,531
2021,6/12/21,88,64,0,556
2021,6/13/21,83,57,0,576
2021,6/14/21,93,58,0,598
2021,6/15/21,84,58,0,619
2021,6/16/21,80,58,0,638
2021,6/17/21,86,68,0,665
2021,6/18/21,86,61,0,688.5
2021,6/19/21,87,60,0,711.5
2021,6/22/21,65,46,0,749.5
2021,6/23/21,75,57,0,765.5
2021,6/24/21,85,60,0,788
2021,6/25/21,85,61,0,811
2021,6/26/21,84,65,0,835.5
2021,7/1/21,85,65,0,944
2021,7/2/21,87,56,0,965
2021,7/3/21,84,64,0,989
2021,7/4/21,86,69,0,1016.5
2021,7/5/21,92,73,0,1046
2021,7/6/21,94,71,0,1074.5
2021,7/8/21,64,51,0,1096
2021,7/9/21,71,57,0,1110
2021,7/10/21,78,60,0,1129
2021,7/11/21,80,60,0,1149
2021,7/12/21,84,57,0,1169.5
2021,7/13/21,81,60,0,1190
2021,7/14/21,87,65,0,1215.5
2021,7/16/21,81,58,0,1251
2021,7/17/21,83,60,0,1272.5
2021,7/18/21,85,61,0,1295.5
2021,7/19/21,86,66,0,1321.5
2021,7/20/21,87,65,0,1347
2021,7/21/21,86,62,0,1371
2021,7/22/21,82,64,0,1394
2021,7/24/21,93,71,0,1450
2021,7/26/21,90,67,0,1500
2021,7/27/21,89,73,0,1529.5
2021,7/28/21,91,72,0,1558.5
2021,7/30/21,81,61,0,1607.5
2021,7/31/21,79,58,0,1626
2021,8/1/21,86,60,0,1649